1,bMaxHp
2,bMaxSP
3,bStr
4,bAgi
5,bVit
6,bInt
7,bDex
8,bLuk
9,bMaxHPRate
10,bMaxSpRate
//  [EnumVAR.VAR_HPACCELERATION[1]] = "Increases natural HP regeneration by %d%%",
//  [EnumVAR.VAR_SPACCELERATION[1]] = "Increases natural SP regeneration by %d%%",
13,bAtkRate
14,bMatkRate
15,bAspd
16,bAspdRate
17,bBaseAtk
18,bHit
19,bMatk
20,bDef
21,bMdef
22,bFlee
23,bFlee2
24,bCritical
79,bDefEle,Ele_Fire
80,bDefEle,Ele_Wind
81,bDefEle,Ele_Poison
82,bDefEle,Ele_Holy
83,bDefEle,Ele_Dark
84,bDefEle,Ele_Ghost
85,bDefEle,Ele_Undead
//¿Õ°×
//  [EnumVAR.RACE_TOLERACE_NOTHING[1]] = "Increases resistance against Formless monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_UNDEAD[1]] = "Increases resistance against Undead monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_ANIMAL[1]] = "Increases resistance against Brute monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_PLANT[1]] = "Increases resistance against Plant monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_INSECT[1]] = "Increases resistance against Insect monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_FISHS[1]] = "Increases resistance against Fish monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_DEVIL[1]] = "Increases resistance against Demon monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_HUMAN[1]] = "Increases resistance against Demihuman monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_ANGEL[1]] = "Increases resistance against Angel monster by %d%%",
//  [EnumVAR.RACE_TOLERACE_DRAGON[1]] = "Increases resistance against Dragon monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_NOTHING[1]] = "Increases physical damage inflicted on Formless monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_UNDEAD[1]] = "Increases physical damage inflicted on Undead monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_ANIMAL[1]] = "Increases physical damage inflicted on Brute monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_PLANT[1]] = "Increases physical damage inflicted on Plant monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_INSECT[1]] = "Increases physical damage inflicted on Insect monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_FISHS[1]] = "Increases physical damage inflicted on Fish monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_DEVIL[1]] = "Increases physical damage inflicted on Demon monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_HUMAN[1]] = "Increases physical damage inflicted on Demihuman monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_ANGEL[1]] = "Increases physical damage inflicted on Angel monster by %d%%",
//  [EnumVAR.RACE_DAMAGE_DRAGON[1]] = "Increases physical damage inflicted on Dragon monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_NOTHING[1]] = "Increases magical damage inflicted on Formless monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_UNDEAD[1]] = "Increases magical damage inflicted on Undead monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_ANIMAL[1]] = "Increases magical damage inflicted on Brute monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_PLANT[1]] = "Increases magical damage inflicted on Plant monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_INSECT[1]] = "Increases magical damage inflicted on Insect monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_FISHS[1]] = "Increases magical damage inflicted on Fish monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_DEVIL[1]] = "Increases magical damage inflicted on Devil monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_HUMAN[1]] = "Increases magical damage inflicted on Demihuman monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_ANGEL[1]] = "Increases magical damage inflicted on Angel monster by %d%%",
//  [EnumVAR.RACE_MDAMAGE_DRAGON[1]] = "Increases magical damage inflicted on Dragon monster by %d%%",
//  [EnumVAR.RACE_CRI_PERCENT_NOTHING[1]] = "To Formless monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_UNDEAD[1]] = "To Undeard monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_ANIMAL[1]] = "To Brute monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_PLANT[1]] = "To Plant monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_INSECT[1]] = "To Insect monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_FISHS[1]] = "To Fish monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_DEVIL[1]] = "To Demon monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_HUMAN[1]] = "To Demihuman monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_ANGEL[1]] = "To Angel monster CRIT +%d/10",
//  [EnumVAR.RACE_CRI_PERCENT_DRAGON[1]] = "To Dragon monster CRIT +%d/10",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_NOTHING[1]] = "Ignore %d%% physical defense of Formless monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_UNDEAD[1]] = "Ignore %d%% physical defense of Undead monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_ANIMAL[1]] = "Ignore %d%% physical defense of Brute monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_PLANT[1]] = "Ignore %d%% physical defense of Plant monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_INSECT[1]] = "Ignore %d%% physical defense of Insect monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_FISHS[1]] = "Ignore %d%% physical defense of Fish monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_DEVIL[1]] = "Ignore %d%% physical defense of Demon monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_HUMAN[1]] = "Ignore %d%% physical defense of Demihuman monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_ANGEL[1]] = "Ignore %d%% physical defense of Angel monster",
//  [EnumVAR.RACE_IGNORE_DEF_PERCENT_DRAGON[1]] = "Ignore %d%% physical defense of Dragon monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_NOTHING[1]] = "Ignore %d%% magical defense of Formless monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_UNDEAD[1]] = "Ignore %d%% magical defense of Undead monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_ANIMAL[1]] = "Ignore %d%% magical defense of Brute monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_PLANT[1]] = "Ignore %d%% magical defense of Plant monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_INSECT[1]] = "Ignore %d%% magical defense of Insect monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_FISHS[1]] = "Ignore %d%% magical defense of Fish monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_DEVIL[1]] = "Ignore %d%% magical defense of Demon monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_HUMAN[1]] = "Ignore %d%% magical defense of Demihuman monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_ANGEL[1]] = "Ignore %d%% magical defense of Angel monster",
//  [EnumVAR.RACE_IGNORE_MDEF_PERCENT_DRAGON[1]] = "Ignore %d%% magical defense of Dragon monster",
//  [EnumVAR.CLASS_DAMAGE_NORMAL_TARGET[1]] = "Increases physical damage inflicted on Normal monster by %d%%",
//  [EnumVAR.CLASS_DAMAGE_BOSS_TARGET[1]] = "Increases physical damage inflicted on Boss monster by %d%%",
//  [EnumVAR.CLASS_DAMAGE_NORMAL_USER[1]] = "Decreases physical damage received from Normal monster by %d%%",
//  [EnumVAR.CLASS_DAMAGE_BOSS_USER[1]] = "Decreases physical damage received from Boss monster by %d%%",
//  [EnumVAR.CLASS_MDAMAGE_NORMAL[1]] = "Increases magical damage against Normal monster by %d%%",
//  [EnumVAR.CLASS_MDAMAGE_BOSS[1]] = "Increases magical damage against Boss monster by %d%%",
//  [EnumVAR.CLASS_IGNORE_DEF_PERCENT_NORMAL[1]] = "Ignore %d%% physical defense of Normal monster",
//  [EnumVAR.CLASS_IGNORE_DEF_PERCENT_BOSS[1]] = "Ignore %d%% physical defense of Boss monster",
//  [EnumVAR.CLASS_IGNORE_MDEF_PERCENT_NORMAL[1]] = "Ignore %d%% magical defense of Normal monster",
//  [EnumVAR.CLASS_IGNORE_MDEF_PERCENT_BOSS[1]] = "Ignore %d%% magical defense of Boss monster",
//  [EnumVAR.DAMAGE_SIZE_SMALL_TARGET[1]] = "Increases damage inflicted on Small size monster by %d%%",
//  [EnumVAR.DAMAGE_SIZE_MIDIUM_TARGET[1]] = "Increases damage inflicted on Medium size monster by %d%%",
//  [EnumVAR.DAMAGE_SIZE_LARGE_TARGET[1]] = "Increases damage inflicted on Large size monster by %d%%",
//  [EnumVAR.DAMAGE_SIZE_SMALL_USER[1]] = "Decreases damage received from Small size monster by %d%%",
//  [EnumVAR.DAMAGE_SIZE_MIDIUM_USER[1]] = "Decreases damage received from Medium size monster by %d%%",
//  [EnumVAR.DAMAGE_SIZE_LARGE_USER[1]] = "Decreases damage received from Large size monster by %d%%",
163,bNoSizeFix
//  [EnumVAR.DAMAGE_CRI_TARGET[1]] = "Increases critical damage by %d%%",
//  [EnumVAR.DAMAGE_CRI_USER[1]] = "Decreases critical damage by %d%%",
//  [EnumVAR.RANGE_ATTACK_DAMAGE_TARGET[1]] = "Increases ranged physical damage by %d%%",
//  [EnumVAR.RANGE_ATTACK_DAMAGE_USER[1]] = "Decreases ranged physical damage by %d%%",
168,bHealPower
169,bHealPower2
170,bCastRate
171,bDelayRate
172,bUseSPrate
//¿Õ°×
//¿Õ°×
175,bAtkEle,Ele_Neutral
176,bAtkEle,Ele_Water
177,bAtkEle,Ele_Earth
178,bAtkEle,Ele_Fire
179,bAtkEle,Ele_Wind
180,bAtkEle,Ele_Poison
181,bAtkEle,Ele_Holy
182,bAtkEle,Ele_Dark
183,bAtkEle,Ele_Ghost
184,bAtkEle,Ele_Undead
185,bUnbreakableWeapon
186,bUnbreakableArmor
