// 数据结构:
// <魔物ID>,<编号>
// 全局被bAddClass, bSubClass等bonus影响。
// Class_FixedItemDrop: 无法偷窃，无法变形
// Class_BattleGround: 无法治愈
//1181,Class_Boss
1190,Class_Boss
1198,Class_Boss
1203,Class_Boss
1204,Class_Boss
1205,Class_Boss
1251,Class_Boss
1252,Class_Boss
1259,Class_Boss
1262,Class_Boss
1272,Class_Boss
1283,Class_Boss
1289,Class_Boss
1295,Class_Boss
1302,Class_Boss
1307,Class_Boss
1312,Class_Boss
1320,Class_Boss
1373,Class_Boss
1388,Class_Boss
1389,Class_Boss
1395,Class_Boss
1396,Class_Boss
1397,Class_Boss
1398,Class_Boss
1399,Class_Boss
1418,Class_Boss
1447,Class_Boss
1449,Class_Boss
1456,Class_Boss
1485,Class_Boss
1486,Class_Boss
1487,Class_Boss
1492,Class_Boss
1502,Class_Boss
1511,Class_Boss
1529,Class_Boss
1530,Class_Boss
1542,Class_Boss
1568,Class_Boss
1576,Class_Boss
1582,Class_Boss
1583,Class_Boss
1591,Class_Boss
1592,Class_Boss
1593,Class_Boss
1605,Class_Boss
1609,Class_Boss
1610,Class_Boss
1611,Class_Boss
1612,Class_Boss
1623,Class_Boss
1626,Class_Boss
1630,Class_Boss
1640,Class_Boss
1641,Class_Boss
1642,Class_Boss
1643,Class_Boss
1644,Class_Boss
1645,Class_Boss
1646,Class_Boss
1647,Class_Boss
1648,Class_Boss
1649,Class_Boss
1650,Class_Boss
1651,Class_Boss
1658,Class_Boss
1674,Class_Boss
1681,Class_Boss
1685,Class_Boss
1688,Class_Boss
1689,Class_Boss
1700,Class_Boss
1701,Class_Boss
1702,Class_Boss
1703,Class_Boss
1704,Class_Boss
1705,Class_Boss
1706,Class_Boss
1707,Class_Boss
1708,Class_Boss
1709,Class_Boss
1710,Class_Boss
1711,Class_Boss
1712,Class_Boss
1719,Class_Boss
1720,Class_Boss
1731,Class_Boss
1732,Class_Boss
1733,Class_Boss
1734,Class_Boss
1751,Class_Boss
1754,Class_Boss
1755,Class_Boss
1756,Class_Boss
1763,Class_Boss
1764,Class_Boss
1765,Class_Boss
1766,Class_Boss
1767,Class_Boss
1768,Class_Boss
1779,Class_Boss
1783,Class_Boss
1785,Class_Boss
1791,Class_Boss
1795,Class_Boss
1799,Class_Boss
1800,Class_Boss
1801,Class_Boss
1802,Class_Boss
1803,Class_Boss
1804,Class_Boss
1805,Class_Boss
1806,Class_Boss
1807,Class_Boss
1808,Class_Boss
1809,Class_Boss
1810,Class_Boss
1813,Class_Boss
1814,Class_Boss
1817,Class_Boss
1829,Class_Boss
1830,Class_Boss
1831,Class_Boss
1832,Class_Boss
1833,Class_Boss
1834,Class_Boss
1835,Class_Boss
1839,Class_Boss
1840,Class_Boss
1845,Class_Boss
1846,Class_Boss
1847,Class_Boss
1848,Class_Boss
1849,Class_Boss
1850,Class_Boss
1852,Class_Boss
1853,Class_Boss
1870,Class_Boss
1871,Class_Boss
1872,Class_Boss
1873,Class_Boss
1874,Class_Boss
1876,Class_Boss
1877,Class_Boss
1879,Class_Boss
1885,Class_Boss
1889,Class_Boss
1891,Class_Boss
1894,Class_Boss
1897,Class_Boss
1902,Class_Boss
1903,Class_Boss
1904,Class_Boss
1916,Class_Boss
1917,Class_Boss
1918,Class_Boss
1919,Class_Boss
1920,Class_Boss
1921,Class_Boss
1922,Class_Boss
1923,Class_Boss
1924,Class_Boss
1925,Class_Boss
1929,Class_Boss
1930,Class_Boss
1931,Class_Boss
1932,Class_Boss
1933,Class_Boss
1934,Class_Boss
1935,Class_Boss
1936,Class_Boss
1947,Class_Boss
1949,Class_Boss
1950,Class_Boss
1951,Class_Boss
1952,Class_Boss
1953,Class_Boss
1954,Class_Boss
1956,Class_Boss
1957,Class_Boss
1958,Class_Boss
1959,Class_Boss
1960,Class_Boss
1961,Class_Boss
1964,Class_Boss
1965,Class_Boss
1966,Class_Boss
1967,Class_Boss
1968,Class_Boss
1969,Class_Boss
1970,Class_Boss
1971,Class_Boss
1972,Class_Boss
1973,Class_Boss
1974,Class_Boss
1975,Class_Boss
1976,Class_Boss
1977,Class_Boss
1978,Class_Boss
1979,Class_Boss
1980,Class_Boss
1990,Class_Boss
1991,Class_Boss
1996,Class_Boss
1997,Class_Boss
1998,Class_Boss
//2002,Class_Boss
//2005,Class_Boss
//2006,Class_Boss
//2007,Class_Boss
2010,Class_Boss
//2011,Class_Boss
//2012,Class_Boss
2022,Class_Boss
//2025,Class_Boss
2027,Class_Boss
//2028,Class_Boss
//2029,Class_Boss
//2030,Class_Boss
//2031,Class_Boss
//2032,Class_Boss
//2033,Class_Boss
//2034,Class_Boss
//2035,Class_Boss
//2036,Class_Boss
//2037,Class_Boss
//2038,Class_Boss
//2039,Class_Boss
//2040,Class_Boss
//2041,Class_Boss
2042,Class_Boss
2043,Class_Boss
2044,Class_Boss
2045,Class_Boss
2046,Class_Boss
//2048,Class_Boss
//2050,Class_Boss
//2051,Class_Boss
//2052,Class_Boss
//2053,Class_Boss
//2054,Class_Boss
//2055,Class_Boss
//2056,Class_Boss
//2058,Class_Boss
//2059,Class_Boss
//2060,Class_Boss
//2061,Class_Boss
//2062,Class_Boss
//2063,Class_Boss
//2064,Class_Boss
//2065,Class_Boss
//2066,Class_Boss
//2067,Class_Boss
2068,Class_Boss
//2075,Class_Boss
//2076,Class_Boss
//2077,Class_Boss
//2078,Class_Boss
//2079,Class_Boss
//2080,Class_Boss
2082,Class_Boss
2087,Class_Boss
2093,Class_Boss
2094,Class_Boss
2095,Class_Boss
2096,Class_Boss
2097,Class_Boss
2098,Class_Boss
2099,Class_Boss
2100,Class_Boss
2101,Class_Boss
2102,Class_Boss
2103,Class_Boss
2104,Class_Boss
2105,Class_Boss
2106,Class_Boss
2107,Class_Boss
2108,Class_Boss
2109,Class_Boss
2110,Class_Boss
2111,Class_Boss
2112,Class_Boss
2113,Class_Boss
2131,Class_Boss
2138,Class_Boss
2139,Class_Boss
2140,Class_Boss
2141,Class_Boss
2142,Class_Boss
2143,Class_Boss
2144,Class_Boss
2145,Class_Boss
2146,Class_Boss
2156,Class_Boss
2157,Class_Boss
2165,Class_Boss
2170,Class_Boss
2171,Class_Boss
2172,Class_Boss
2173,Class_Boss
2174,Class_Boss
2175,Class_Boss
2176,Class_Boss
2177,Class_Boss
2178,Class_Boss
2179,Class_Boss
2186,Class_Boss
2187,Class_Boss
2188,Class_Boss
2189,Class_Boss
2190,Class_Boss
2193,Class_Boss
2194,Class_Boss
2198,Class_Boss
2202,Class_Boss
2206,Class_Boss
2208,Class_Boss
2228,Class_Boss
2229,Class_Boss
2230,Class_Boss
2231,Class_Boss
2232,Class_Boss
2233,Class_Boss
2234,Class_Boss
2235,Class_Boss
2236,Class_Boss
2237,Class_Boss
2238,Class_Boss
2239,Class_Boss
2240,Class_Boss
2241,Class_Boss
2242,Class_Boss
2243,Class_Boss
2244,Class_Boss
2255,Class_Boss
2256,Class_Boss
2280,Class_Boss
2281,Class_Boss
2282,Class_Boss
2283,Class_Boss
2284,Class_Boss
2285,Class_Boss
2286,Class_Boss
2287,Class_Boss
2308,Class_Boss
2317,Class_Boss
2318,Class_Boss
2319,Class_Boss
2320,Class_Boss
2321,Class_Boss
2322,Class_Boss
2327,Class_Boss
2332,Class_Boss
2333,Class_Boss
2473,Class_Boss
2474,Class_Boss
2475,Class_Boss
2476,Class_Boss
