// Job-specific Values Database
//
// Structure of Database:
// JobID,Weight,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,1HMace,2HMace(unused),Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff
//
// 初学者
4008,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 神官
4009,26000,400,2000,2000,2000,2000,2000,2000,2000,600,600,600,2000,2000,2000,2000,600,2000,2000,2000,2000,2000,2000,2000,600
// 超魔导士
4010,24000,500,575,2000,2000,2000,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,625
// 神工匠
4011,30000,400,600,650,2000,2000,2000,650,650,675,675,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 神射手
4012,27000,400,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 十字刺客
4013,24000,400,500,650,2000,2000,2000,800,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,2000,2000,2000,2000,2000,2000,2000
// 骑士领主 (骑鸟)
4014,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 圣殿十字军
4015,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 武术宗师
4016,26000,400,2000,2000,2000,2000,2000,2000,2000,575,575,575,2000,475,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,575
// 智者
4017,24000,450,525,2000,2000,2000,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,625
// 神行太保
4018,24000,400,500,550,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 创造者
4019,30000,400,550,575,2000,2000,2000,675,700,650,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 搞笑艺人
4020,27000,400,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,575,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 冷艳舞姬
4021,27000,400,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,2000,575,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 圣殿十字军 (骑鸟)
4022,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子初学者
4023,20000,500,650,700,2000,2000,2000,800,2000,700,700,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,650
// 养子剑士
4024,28000,400,500,550,600,650,700,700,750,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子魔法师
4025,22000,500,600,2000,2000,2000,2000,2000,2000,2000,2000,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,700
// 养子弓箭手
4026,26000,400,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子服事
4027,24000,400,2000,2000,2000,2000,2000,2000,2000,600,600,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,600
// 养子商人
4028,28000,400,600,700,2000,2000,2000,700,750,700,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子盗贼
4029,24000,400,500,650,2000,2000,2000,800,2000,2000,2000,2000,800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子骑士
4030,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子祭司
4031,26000,400,2000,2000,2000,2000,2000,2000,2000,600,600,600,2000,2000,2000,2000,600,2000,2000,2000,2000,2000,2000,2000,600
// 养子巫师
4032,24000,500,575,2000,2000,2000,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,625
// 养子铁匠
4033,30000,400,600,650,2000,2000,2000,650,650,675,675,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子猎人
4034,27000,400,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子刺客
4035,24000,400,500,650,2000,2000,2000,800,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,2000,2000,2000,2000,2000,2000,2000
// 养子骑士 (骑鸟)
4036,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子十字军
4037,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子武道家
4038,26000,400,2000,2000,2000,2000,2000,2000,2000,575,575,575,2000,475,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,575
// 养子贤者
4039,24000,450,525,2000,2000,2000,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,625
// 养子流氓
4040,24000,400,500,550,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子炼金术师
4041,30000,400,550,575,2000,2000,2000,675,700,650,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子吟游诗人
4042,27000,400,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,575,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子舞娘
4043,27000,400,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,2000,575,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子十字军 (骑鸟)
4044,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 养子超级初学者
4045,20000,500,650,700,2000,2000,2000,800,2000,700,700,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,650
// 跆拳少年/少女
4046,28000,400,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 拳圣
4047,28000,400,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,2000,2000,2000,2000,2000,2000,2000,2000
// 拳圣 (灵魂状态)
4048,28000,400,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,2000,2000,2000,2000,2000,2000,2000,2000
// 悟灵士
4049,24000,500,575,2000,2000,2000,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,625
